ano_eleicao;sigla_partido;nome_coligacao;nome_candidato;nome_municipio
2012;PMDB;LOGRADOURO SEGUE EM FRENTE;CELIA MARIA DE QUEIROZ CARVALHO;LOGRADOURO
2012;PMDB;MATUREIA UNIDA;DANIEL DANTAS WANDERLEY;MATURÉIA
2012;PMDB;MUDA PILÕEZINHOS;ROSINALDO LUCENA MENDES;PILÕEZINHOS
2012;PMDB;MUDAR É PRECISO;ANTONIO COSTA NOBREGA JUNIOR;PRATA
2012;PMDB;NOVOS TEMPOS PARA CAPIM;EDVALDO CARLOS FREIRE JUNIOR;CAPIM
2012;PMDB;O MELHOR PRA PATOS;FRANCISCA GOMES ARAUJO MOTTA;PATOS
2012;PMDB;O POVO PENSANDO CERTO;ALYSON JOSÉ SILVA AZEVEDO;BARAÚNA
2012;PMDB;O POVO SABE O QUE QUER;GERVAZIO GOMES DOS SANTOS;BERNARDINO BATISTA
2012;PMDB;O TRABALHO NÃO PODE PARAR;FRANCISCO DUARTE DA SILVA NETO;SUMÉ
2012;PMDB;OLIVEDOS SEGUINDO EM FRENTE;GRIGORIO DE ALMEIDA SOUTO;OLIVEDOS
2012;PMDB;PELO PROGRESSO DE VISTA SERRANA;JURANDY ARAUJO DA SILVA;VISTA SERRANA
2012;PMDB;POR AMOR A NOSSA TERRA;EDUARDO GINDRE CAXIAS DE LIMA;SÃO JOSÉ DOS RAMOS
2012;PMDB;POR UMA ALHANDRA DE TODOS;MARCELO RODRIGUES DA COSTA;ALHANDRA
2012;PMDB;POR UMA TAVARES MELHOR;AILTON NIXON SUASSUNA PORTO;TAVARES
2012;PMDB;PRA CONTINUAR CRESCENDO;LUZINECTT TEIXEIRA LOPES;BARRA DE SÃO MIGUEL
2012;PMDB;RIO TINTO NO RUMO CERTO;SEVERINA FERREIRA ALVES;RIO TINTO
2012;PMDB;SÃO DOMINGOS NÃO PODE PARAR;ODAISA DE CÁSSIA QUEIROGA DA SILVA NOBREGA;SÃO DOMINGOS DE POMBAL
2012;PMDB;SERTÃOZINHO NO RUMO CERTO;MARCIA MOUSINHO ARAUJO;SERTÃOZINHO
2012;PMDB;TAPEROÁ NÃO PODE PARAR;JURANDI GOUVEIA FARIAS;TAPEROÁ
2012;PMDB;TODOS UNIDOS POR SÃO JOSÉ;ALDINEIDE SARAIVA DE OLIVEIRA;SÃO JOSÉ DO BREJO DO CRUZ
2012;PMDB;TRABALHO, AMOR E LIBERDADE;CLODOALDO BELTRAO BEZERRA DE MELO;SÃO MIGUEL DE TAIPU
2012;PMDB;TRABALHO, UNIÃO E FÉ;MAGNO SILVA MARTINS;PASSAGEM
2012;PMDB;TRABALHO, UNIÃO E PROGRESSO;LUIZ FERREIRA DE MORAIS;SÃO JOSÉ DE PRINCESA
2012;PMDB;TRIUNFO É QUEM VAI GANHAR;DAMISIO MANGUEIRA DA SILVA;TRIUNFO
2012;PMDB;UMA NOVA HISTÓRIA PARA MALTA;MANOEL BENEDITO DE LUCENA FILHO;MALTA
2012;PMDB;UNIÃO DA VITÓRIA;ERIVAN BEZERRA DANIEL;TACIMA
2012;PMDB;UNIDOS PARA MUDAR JACARAU;JOAO RIBEIRO FILHO;JACARAÚ
2012;PMDB;UNIDOS PELA MUDANÇA DE MATINHAS;MARIA DE FÁTIMA SILVA;MATINHAS
2012;PMDB;UNIDOS PELO BEM DOS JOCACLAUDINENSES;LUCRECIA ADRIANA DE ANDRADE BARBOSA DANTAS;JOCA CLAUDINO
2012;PMDB;UNIDOS POR QUIXABA;JÚLIO CEZAR DE MEDEIROS BATISTA;QUIXABA
2012;PMDB;UNIDOS POR SÃO JOSÉ DO BONFIM;ROSALBA GOMES DA NOBREGA;SÃO JOSÉ DO BONFIM
2012;PMDB;UNIDOS POR SOUSA;ANDRE AVELINO DE PAIVA GADELHA NETO;SOUSA
2012;PMN;SÃO JOÃO DO TIGRE PARA TODOS;JOSE MAUCELIO BARBOSA;SÃO JOÃO DO TIGRE
2012;PMN;UNIDOS PARA RECONSTRUIR POCINHOS;CLAUDIO CHAVES COSTA;POCINHOS
2012;PP;NOVO CAMINHO;JOAQUIM HUGO VIEIRA CARNEIRO;RIACHO DOS CAVALOS
